pH,EC,TDS,Temperature,DissolvedOxygen,Moisture,Label
7.38,650.2,150.2,27.7,4.71,24.4,0
6.05,277.9,240.2,21.8,5.77,33.4,0
7.53,164.4,297.0,26.2,5.87,12.3,1
6.22,332.8,80.5,22.5,6.42,4.3,0
7.63,51.0,186.5,23.5,5.07,6.6,1
7.93,289.0,222.7,14.1,6.9,43.3,1
6.34,301.9,191.8,31.3,6.32,29.2,0
7.77,395.4,1.9,26.7,5.59,24.7,1
7.33,416.8,240.1,22.7,5.15,39.5,1
7.66,239.6,321.5,21.6,5.78,26.0,1
8.52,281.9,209.3,23.5,5.02,32.7,0
6.8,208.1,117.5,27.2,6.07,30.3,1
6.4,164.6,158.9,19.3,6.1,25.3,0
6.29,337.2,341.6,24.6,6.31,32.9,0
6.35,147.2,272.8,30.3,8.12,37.7,0
6.94,250.2,251.2,21.6,5.84,28.2,1
7.27,180.6,228.5,25.2,7.21,25.4,1
7.22,366.0,147.1,31.6,6.28,26.6,1
7.66,516.2,184.0,26.9,5.71,7.0,1
7.01,143.8,193.8,25.4,5.86,32.8,1
8.16,77.6,244.0,26.5,5.93,17.9,1
6.79,285.0,320.7,23.8,6.34,36.3,1
9.18,301.9,289.5,28.9,4.85,29.1,0
7.5,326.2,86.4,23.8,4.24,31.1,0
6.31,246.4,217.9,19.1,6.79,37.0,0
6.14,275.9,258.9,23.8,7.08,20.7,0
7.39,344.1,249.5,22.1,6.89,33.7,1
6.82,424.9,149.7,24.2,6.19,32.7,1
7.57,65.4,433.1,24.2,6.92,28.2,1
7.38,255.7,97.8,28.6,6.86,20.7,1
6.94,325.7,113.3,27.1,6.95,36.0,1
6.32,189.8,218.7,25.8,4.97,37.0,0
5.79,507.7,369.3,25.0,4.68,31.1,0
6.64,223.8,133.1,21.8,5.53,19.3,1
7.69,295.0,178.7,18.5,5.98,24.7,1
7.17,366.7,286.2,25.3,5.71,29.4,1
6.0,229.0,198.6,27.4,3.75,36.9,0
7.14,78.4,173.2,24.7,8.07,14.2,1
7.31,248.6,245.3,23.4,5.67,24.4,1
6.29,423.5,221.8,26.4,6.21,26.0,0
7.12,259.6,282.4,24.8,7.49,29.2,1
7.05,198.4,303.3,30.1,3.19,17.0,0
6.09,411.1,224.6,28.7,5.39,27.8,0
7.29,260.3,223.3,27.9,5.54,26.9,1
7.45,238.8,217.1,27.3,5.6,19.6,1
7.87,317.9,239.1,21.1,5.79,28.8,1
7.84,392.5,204.4,27.0,7.74,24.6,1
5.9,585.8,200.0,26.1,6.81,35.0,0
6.25,399.3,295.7,26.8,7.15,21.1,0
7.41,439.2,321.3,26.5,6.06,30.9,1
7.41,239.3,79.4,26.4,4.32,21.9,0
7.41,176.9,200.8,33.1,3.5,24.0,0
10.08,307.5,144.9,24.8,4.16,33.0,0
7.46,312.9,175.1,27.8,6.43,32.3,1
7.91,170.6,232.2,23.6,6.04,25.8,1
7.76,279.0,253.6,27.4,5.75,27.3,1
7.52,347.9,191.0,27.8,5.56,15.5,1
6.75,343.2,46.9,26.1,8.41,44.0,1
7.61,360.5,122.8,30.0,5.01,36.9,1
6.38,334.9,271.7,22.3,7.11,36.5,0
6.81,239.2,-19.2,23.5,6.0,14.0,1
6.61,238.3,295.0,25.6,5.93,24.0,1
7.07,156.1,241.7,27.6,7.41,26.7,1
8.85,514.2,305.3,25.5,7.76,10.7,0
5.51,301.6,184.1,28.9,5.71,38.9,0
7.55,273.0,35.1,23.0,6.96,44.5,1
5.71,188.5,234.4,21.6,6.44,50.6,0
6.62,652.3,302.0,25.9,6.01,19.5,1
7.87,171.2,274.0,24.8,6.25,31.2,1
7.05,248.5,147.0,26.6,5.17,43.2,1
6.14,349.9,206.9,24.9,5.63,27.5,0
6.43,372.0,157.4,24.0,5.3,24.3,0
7.54,415.0,134.5,24.8,7.08,11.3,1
6.42,516.9,276.4,25.1,5.89,41.3,0
7.17,360.7,104.2,24.1,4.44,29.8,0
7.04,173.3,128.5,24.4,5.13,22.7,1
6.48,269.2,111.7,23.8,2.16,32.8,0
8.72,336.9,80.8,27.6,5.41,31.5,0
7.51,548.2,211.7,25.6,6.05,31.7,1
5.38,132.3,292.9,31.8,5.84,27.8,0
7.15,444.3,185.2,25.5,8.38,46.2,1
6.47,321.6,79.5,23.3,6.69,28.7,0
7.68,400.5,267.2,33.0,6.64,46.2,1
6.37,287.8,334.9,26.2,4.03,35.6,0
6.91,198.9,148.3,28.0,5.56,33.5,1
7.4,390.1,161.7,26.8,5.42,28.9,1
7.69,378.5,241.3,26.9,5.06,39.7,1
6.04,416.6,329.7,26.6,5.04,31.1,0
6.73,298.4,158.4,21.7,3.83,20.7,0
6.62,228.0,93.4,26.1,4.47,20.3,0
6.48,112.9,250.5,21.0,7.05,34.2,0
8.41,398.3,263.9,24.5,5.83,20.9,1
7.32,350.9,200.5,22.8,5.39,29.4,1
5.99,184.1,155.3,26.1,5.99,40.6,0
7.73,235.4,279.6,26.0,7.4,33.0,1
8.7,244.0,242.2,26.4,6.01,22.8,0
7.83,122.0,138.5,25.9,6.65,44.1,1
5.78,201.9,203.9,23.2,4.98,35.5,0
6.61,163.9,91.9,24.2,5.26,40.2,1
8.01,250.5,254.9,27.8,6.42,7.3,1
6.43,211.4,179.0,28.2,8.27,33.3,0
7.36,104.8,165.1,21.6,7.72,38.4,1
7.62,542.7,197.4,20.4,6.7,47.0,1
6.26,450.3,203.2,22.8,6.18,15.4,0
6.95,206.5,271.6,28.1,7.68,42.1,1
4.41,332.7,247.3,28.6,6.95,46.4,0
6.18,350.1,187.5,22.2,3.25,9.8,0
6.8,442.9,261.1,25.9,4.74,34.8,0
6.0,201.8,232.1,30.5,6.41,36.2,0
8.31,431.1,165.9,26.2,3.86,26.7,0
5.86,234.3,190.0,29.3,4.92,25.1,0
6.65,139.7,188.1,28.0,5.16,36.7,1
7.1,386.9,240.4,22.3,5.69,23.9,1
8.15,454.9,170.6,24.4,5.66,27.8,1
5.85,610.5,168.8,25.1,5.65,38.1,0
7.93,156.0,357.5,25.3,6.99,47.5,1
7.01,383.9,275.2,27.7,5.68,35.4,1
6.21,250.8,139.2,26.2,5.54,31.3,0
7.37,394.0,245.7,16.2,4.38,24.8,0
7.16,123.5,209.5,21.1,7.23,19.9,1
6.52,148.5,231.3,18.4,5.19,41.1,1
7.06,206.9,211.0,25.5,4.7,28.5,0
6.69,309.5,295.2,25.7,6.26,41.5,1
7.09,223.1,227.6,25.8,5.08,26.7,1
7.53,379.1,195.0,22.1,5.37,23.5,1
8.27,423.2,283.4,27.0,6.31,34.2,1
6.01,371.9,218.7,27.1,5.61,29.2,0
8.71,494.3,209.7,21.2,8.77,17.9,0
5.44,349.9,225.1,20.6,5.91,48.2,0
6.88,154.0,192.5,25.0,6.74,23.7,1
7.47,463.6,200.7,30.4,3.67,39.3,0
7.22,227.4,153.1,30.1,4.97,38.4,0
6.5,409.3,139.9,26.7,4.7,17.4,0
6.83,488.8,120.1,22.8,4.85,20.0,0
6.61,354.8,88.6,27.7,6.5,27.0,1
6.53,120.5,129.6,23.6,7.24,21.3,1
7.68,189.8,186.1,22.7,6.41,47.3,1
7.29,458.7,208.2,18.6,5.73,28.0,1
6.45,279.7,178.3,25.3,5.24,38.9,0
7.72,309.5,11.5,23.1,7.34,35.1,1
7.25,391.1,326.0,25.3,8.49,32.6,1
7.65,383.6,286.9,18.1,6.16,30.4,1
7.5,333.5,235.7,25.5,7.13,42.4,1
6.34,275.0,352.6,17.7,6.41,21.7,0
6.55,262.5,121.8,28.3,6.91,47.3,1
7.6,402.9,351.0,26.6,4.6,17.1,0
7.49,366.4,122.8,24.2,5.41,37.8,1
6.98,269.1,219.1,26.7,6.47,15.9,1
7.09,429.9,98.1,22.1,7.45,26.8,1
8.02,284.5,201.2,25.2,5.02,30.9,1
6.53,197.8,230.9,27.4,3.56,25.1,0
7.44,208.9,187.6,15.7,5.4,28.2,1
6.84,182.6,257.1,23.7,7.21,16.1,1
6.83,267.3,207.9,24.9,4.1,20.1,0
7.88,448.0,158.2,24.4,4.59,35.0,0
7.66,203.4,154.7,29.4,6.19,30.3,1
7.65,322.6,264.9,21.6,5.86,23.1,1
8.04,221.2,147.7,23.1,6.71,43.2,1
7.02,268.8,273.2,19.3,4.53,17.8,0
7.55,118.8,297.8,29.5,5.61,26.4,1
6.75,273.5,66.5,24.3,7.43,24.9,1
7.26,276.8,290.6,23.7,4.57,36.2,0
6.9,364.8,364.8,24.8,7.77,30.5,1
7.08,326.8,220.2,26.9,4.72,28.9,0
7.48,156.2,247.9,26.0,7.02,11.6,1
6.35,430.1,283.0,32.9,5.55,38.7,0
8.67,325.2,178.0,26.4,4.63,27.8,0
6.2,323.8,214.6,23.6,5.4,31.2,0
6.03,298.9,94.9,23.3,6.65,22.5,0
7.93,237.9,211.1,23.8,5.99,20.9,1
7.63,326.1,239.8,20.5,7.34,45.0,1
7.5,357.1,241.3,25.1,7.72,12.3,1
7.5,90.4,285.2,27.4,4.58,19.5,0
6.99,235.3,138.0,23.2,4.49,44.8,0
6.28,269.4,157.4,22.6,4.43,36.4,0
7.06,330.7,351.6,29.5,4.92,26.7,0
6.46,443.2,188.0,20.7,7.33,42.5,0
7.78,207.4,216.0,18.8,6.67,34.5,1
6.88,240.2,194.6,21.5,5.35,32.3,1
6.34,238.5,134.3,20.4,5.99,32.3,0
6.74,203.8,329.9,26.2,7.69,34.7,1
7.33,258.3,157.8,23.9,8.29,35.1,1
6.55,392.5,109.8,24.3,6.31,52.0,1
6.34,173.5,163.9,28.5,2.81,28.1,0
7.19,351.3,39.9,22.9,6.36,28.4,1
7.2,95.8,147.9,27.3,7.12,17.6,1
6.59,232.6,122.5,29.5,6.27,29.5,1
6.62,260.5,249.4,23.6,6.87,48.6,1
7.19,501.0,146.1,27.2,6.43,39.8,1
5.84,267.0,271.0,24.3,4.52,24.6,0
5.87,35.9,311.9,27.8,4.94,30.3,0
6.43,60.1,262.5,20.3,5.61,17.0,0
6.83,304.1,182.8,20.1,7.28,20.3,1
7.25,373.7,211.3,23.8,5.08,31.5,1
8.18,345.1,78.0,22.3,6.55,25.1,1
7.69,320.1,189.3,23.4,6.36,19.6,1
6.87,439.5,131.2,24.3,7.9,34.9,1
6.98,235.2,255.5,27.2,5.95,29.2,1
6.2,407.4,405.8,23.8,3.89,14.3,0
6.99,104.2,240.0,22.5,6.78,9.2,1
6.77,191.4,40.7,23.9,8.57,24.3,1
7.26,83.2,171.1,22.7,6.85,14.1,1
6.34,267.0,209.8,22.2,5.05,11.3,0
7.42,294.4,207.0,20.2,4.7,41.3,0
8.23,313.7,141.5,25.2,4.86,29.0,0
6.91,307.4,219.6,23.3,8.4,27.3,1
7.32,188.7,100.6,27.9,5.61,28.1,1
7.55,277.2,124.4,20.7,5.2,18.6,1
6.68,120.3,251.7,23.4,5.81,34.1,1
7.18,463.6,118.7,30.4,5.62,28.7,1
7.01,263.6,243.1,22.2,7.88,22.4,1
7.08,241.3,90.4,24.3,4.78,23.9,0
6.38,490.7,341.2,21.4,7.42,17.7,0
7.02,150.9,138.1,21.0,6.15,25.9,1
7.4,164.9,182.1,29.6,7.45,27.6,1
8.16,168.5,226.4,25.5,7.9,25.7,1
7.77,291.9,154.8,25.4,6.1,30.6,1
8.72,351.8,211.5,19.9,5.62,29.2,0
6.39,388.8,246.0,26.1,6.08,32.3,0
7.7,608.6,276.8,28.5,5.89,39.4,1
7.15,30.1,263.3,28.4,4.01,35.9,0
8.75,373.0,186.3,27.0,7.86,39.5,0
6.35,233.1,188.3,21.6,6.29,21.5,0
6.33,229.6,387.9,25.9,4.6,24.9,0
6.52,225.6,276.0,27.0,3.52,36.5,0
5.3,190.9,126.3,19.6,3.21,36.7,0
6.58,502.1,208.0,21.6,6.92,23.2,1
6.39,401.1,173.2,27.7,5.26,36.1,0
7.12,302.8,189.2,27.6,5.45,20.6,1
7.27,462.1,101.6,20.4,6.59,34.8,1
8.5,118.5,167.0,27.4,5.38,29.7,1
7.76,140.3,344.9,25.3,6.66,16.2,1
6.54,38.6,246.3,27.3,6.11,25.7,1
6.28,216.1,0.7,23.1,5.9,51.8,0
7.39,319.4,297.3,26.9,4.11,32.0,0
5.94,312.3,287.2,27.5,5.02,53.0,0
8.47,317.9,171.3,23.9,6.72,15.6,1
7.94,130.7,257.4,25.1,5.18,37.5,1
6.62,396.4,131.2,23.1,7.45,4.7,1
5.63,328.8,162.4,30.0,8.82,30.0,0
8.08,388.0,319.9,24.6,6.79,36.3,1
6.91,72.9,178.3,22.2,7.79,38.4,1
7.99,337.4,50.4,22.9,6.86,22.0,1
5.72,157.5,194.9,25.4,5.36,40.4,0
6.52,252.3,193.7,27.3,6.24,24.7,1
7.0,364.1,295.9,21.0,8.42,28.4,1
7.04,310.9,201.1,30.5,5.37,25.7,1
6.64,197.8,166.3,25.9,4.75,18.6,0
7.5,300.8,283.6,26.4,4.64,45.7,0
6.15,116.2,209.7,24.7,5.74,30.5,0
6.89,438.0,140.0,25.1,4.8,40.9,0
7.1,275.4,292.4,24.6,8.01,40.4,1
7.41,434.2,215.5,28.1,6.26,20.3,1
7.57,236.8,200.2,25.0,7.17,42.2,1
6.1,237.2,214.2,27.3,5.64,35.0,0
5.77,208.3,114.3,23.7,4.63,19.6,0
8.02,405.1,157.8,25.6,4.43,34.5,0
7.27,214.9,200.3,22.6,4.91,19.8,0
6.4,377.4,184.4,28.6,6.42,46.1,0
8.24,254.1,301.8,22.5,6.62,38.1,1
7.09,62.9,217.4,24.0,6.72,29.3,1
7.94,231.6,268.4,24.1,4.21,42.6,0
7.05,158.5,200.8,23.9,6.0,14.2,1
8.65,304.1,284.5,27.2,4.77,22.5,0
8.4,157.2,231.8,24.1,6.48,27.5,1
6.8,411.1,201.1,29.2,6.57,52.4,1
7.78,289.1,198.9,22.5,4.59,19.3,0
7.52,278.7,123.6,25.5,7.16,12.9,1
8.09,378.7,240.6,22.7,8.81,15.6,1
6.23,415.7,196.8,26.3,7.0,39.1,0
7.55,297.6,159.8,25.0,5.8,24.1,1
7.85,207.5,288.5,24.5,5.62,28.4,1
5.59,87.1,100.0,28.6,5.75,37.6,0
6.05,217.7,166.2,23.0,5.09,28.4,0
5.37,225.9,282.2,26.8,6.3,32.0,0
6.78,312.8,225.2,22.7,4.63,35.4,0
7.57,258.6,196.2,25.3,3.73,25.7,0
8.2,382.6,220.1,21.4,6.26,28.3,1
7.06,226.4,214.4,23.0,6.03,32.4,1
8.3,293.2,78.7,24.8,5.31,38.7,1
5.9,442.1,172.1,30.4,4.46,22.1,0
5.64,341.0,329.3,25.3,6.35,-0.2,0
6.96,292.8,147.3,30.0,4.81,36.8,0
7.31,227.8,174.5,25.7,5.83,39.3,1
6.97,224.0,156.7,23.8,8.12,32.0,1
5.35,197.9,193.0,29.6,6.78,32.7,0
6.93,235.1,153.4,26.3,4.36,24.4,0
5.96,390.7,238.9,23.1,4.47,35.0,0
7.54,273.4,215.8,26.4,6.18,38.5,1
7.29,138.0,261.9,24.1,4.35,30.6,0
6.25,512.2,115.9,19.0,3.6,54.9,0
6.59,338.4,172.8,27.8,6.64,14.4,1
6.15,131.2,181.9,28.3,6.39,31.6,0
6.95,247.0,236.5,30.5,6.54,18.3,1
7.76,313.3,136.5,26.3,6.32,38.8,1
6.21,504.6,273.3,24.3,5.92,14.2,0
7.4,167.0,294.9,27.5,5.21,16.7,1
6.58,417.1,120.9,27.5,6.62,23.7,1
6.37,467.9,160.7,29.9,7.84,32.7,0
6.91,224.6,157.4,24.9,5.4,24.0,1
6.17,266.7,410.6,24.5,4.78,24.1,0
6.56,175.6,165.6,22.9,4.64,28.2,0
6.04,275.6,334.2,26.6,4.96,27.6,0
8.57,295.6,98.7,20.4,6.24,44.9,0
7.03,379.2,120.8,27.3,3.43,36.9,0
6.44,430.8,145.1,26.8,6.53,26.8,0
7.17,210.2,132.3,26.8,6.77,51.0,1
6.91,63.9,178.6,25.4,3.84,34.9,0
6.82,297.5,143.3,29.6,4.82,20.3,0
7.49,335.2,134.5,27.6,6.1,32.6,1
7.61,329.9,292.7,23.2,5.83,35.4,1
6.58,260.8,297.9,23.2,6.62,23.1,1
6.54,315.0,275.9,22.4,5.83,19.5,1
6.78,481.9,241.9,26.7,7.52,30.9,1
5.16,345.8,207.4,22.0,5.61,26.4,0
5.79,255.2,160.2,28.3,4.82,44.8,0
8.09,240.0,123.7,29.0,4.72,37.4,0
8.32,279.6,229.0,22.4,6.88,23.6,1
6.8,496.4,106.1,24.4,6.04,34.3,1
7.46,278.0,120.5,25.0,6.76,42.7,1
7.25,297.6,292.2,27.7,6.74,16.1,1
9.46,242.1,352.1,29.8,3.58,19.8,0
7.9,431.9,231.5,19.9,4.63,29.9,0
6.9,535.2,288.5,24.0,4.78,30.4,0
6.24,354.1,180.3,24.2,5.02,29.5,0
5.71,309.9,93.0,20.8,5.5,26.9,0
7.16,304.4,249.0,23.5,7.2,26.7,1
6.39,13.9,245.5,26.3,7.44,33.8,0
5.86,389.4,205.7,24.2,5.65,41.3,0
6.48,316.1,180.6,20.4,5.7,25.2,0
6.13,351.4,277.0,33.6,5.15,54.4,0
8.35,214.6,121.1,25.8,6.11,49.6,1
7.71,253.9,138.1,25.3,6.24,43.3,1
6.99,250.7,119.4,21.7,6.97,36.2,1
8.18,422.6,206.8,25.8,6.96,50.1,1
7.06,254.5,113.0,24.5,3.24,27.1,0
6.31,549.9,145.3,19.3,5.82,21.7,0
8.22,351.7,143.5,21.8,7.66,24.7,1
7.43,146.9,179.2,27.4,5.47,20.0,1
6.17,284.6,81.0,30.8,7.37,31.2,0
6.85,221.8,207.0,26.1,5.63,33.0,1
6.3,36.7,299.8,28.3,6.21,32.0,0
5.89,491.9,210.8,24.5,4.64,29.9,0
7.74,384.4,323.3,24.7,4.68,31.3,0
8.53,364.0,306.7,28.3,6.87,47.4,0
5.88,319.8,262.2,30.0,7.06,36.2,0
7.45,134.2,206.0,28.9,6.03,39.2,1
6.48,242.0,201.8,21.8,4.53,31.9,0
6.61,401.0,261.1,24.8,6.05,13.8,1
6.53,173.9,168.7,25.8,7.51,11.9,1
6.31,-3.8,49.4,24.2,8.09,50.8,0
7.04,272.7,239.4,26.2,5.62,24.7,1
6.34,283.0,109.5,27.5,4.01,23.8,0
7.22,316.3,123.0,28.0,7.01,32.5,1
6.96,387.4,200.0,30.1,5.67,35.5,1
6.81,376.5,192.4,24.0,7.13,36.8,1
6.27,331.1,87.0,20.9,6.34,47.7,0
6.54,443.5,213.2,26.1,4.94,45.0,0
7.6,117.7,277.3,30.7,6.07,21.9,1
7.4,360.5,109.7,23.6,7.57,39.7,1
6.22,375.2,301.8,27.1,5.82,26.2,0
7.08,151.3,75.2,27.1,4.76,28.6,0
7.6,119.7,369.4,25.6,4.09,19.1,0
5.66,210.5,167.1,25.0,5.07,13.1,0
7.43,220.6,211.6,22.2,5.51,29.7,1
6.47,390.4,48.6,18.2,6.98,20.4,0
7.46,226.3,195.0,21.7,4.65,39.3,0
6.39,197.2,218.3,23.8,7.86,27.2,0
5.56,226.6,193.1,28.3,4.4,33.1,0
5.7,434.2,155.0,24.7,8.8,43.7,0
7.04,301.6,124.3,23.4,8.07,15.1,1
7.21,278.5,290.4,22.3,6.17,22.8,1
6.28,286.8,202.5,27.0,4.02,31.8,0
7.51,455.0,323.3,29.1,5.93,33.1,1
5.67,210.1,157.9,28.2,5.54,41.0,0
6.95,457.9,165.2,26.8,4.47,38.7,0
6.03,325.3,265.2,20.6,6.35,31.0,0
6.48,280.7,70.2,23.9,5.01,33.0,0
